Bezeichnung;Zeit;Wert;Einheit
NS_NSM;1932_10;86;mm
NS_NSM;1932_11;25;mm
NS_NSM;1932_12;13;mm
NS_NSM;1933_01;16;mm
NS_NSM;1933_02;24;mm
NS_NSM;1933_03;14;mm
NS_NSM;1933_04;12;mm
NS_NSM;1933_05;76;mm
NS_NSM;1933_06;83;mm
NS_NSM;1933_07;33;mm
NS_NSM;1933_08;44;mm
NS_NSM;1933_09;30;mm
NS_NSM;1933_10;34;mm
NS_NSM;1933_11;54;mm
NS_NSM;1933_12;11;mm
NS_NSM;1934_01;38;mm
NS_NSM;1934_02;13;mm
NS_NSM;1934_03;19;mm
NS_NSM;1934_04;50;mm
NS_NSM;1934_05;42;mm
NS_NSM;1934_06;74;mm
NS_NSM;1934_07;25;mm
NS_NSM;1934_08;43;mm
NS_NSM;1934_09;25;mm
NS_NSM;1934_10;61;mm
NS_NSM;1934_11;30;mm
NS_NSM;1934_12;72;mm
NS_NSM;1935_01;49;mm
NS_NSM;1935_02;71;mm
NS_NSM;1935_03;17;mm
NS_NSM;1935_04;119;mm
NS_NSM;1935_05;24;mm
NS_NSM;1935_06;77;mm
NS_NSM;1935_07;14;mm
NS_NSM;1935_08;27;mm
NS_NSM;1935_09;81;mm
NS_NSM;1935_10;67;mm
NS_NSM;1935_11;24;mm
NS_NSM;1935_12;48;mm
NS_NSM;1936_01;46;mm
NS_NSM;1936_02;45;mm
NS_NSM;1936_03;11;mm
NS_NSM;1936_04;116;mm
NS_NSM;1936_05;25;mm
NS_NSM;1936_06;93;mm
NS_NSM;1936_07;102;mm
NS_NSM;1936_08;57;mm
NS_NSM;1936_09;37;mm
NS_NSM;1936_10;54;mm
NS_NSM;1936_11;41;mm
NS_NSM;1936_12;33;mm
NS_NSM;1937_01;79;mm
NS_NSM;1937_02;103;mm
NS_NSM;1937_03;63;mm
NS_NSM;1937_04;85;mm
NS_NSM;1937_05;21;mm
NS_NSM;1937_06;64;mm
NS_NSM;1937_07;30;mm
NS_NSM;1937_08;45;mm
NS_NSM;1937_09;57;mm
NS_NSM;1937_10;8;mm
NS_NSM;1937_11;23;mm
NS_NSM;1937_12;53;mm
NS_NSM;1938_01;83;mm
NS_NSM;1938_02;30;mm
NS_NSM;1938_03;15;mm
NS_NSM;1938_04;34;mm
NS_NSM;1938_05;55;mm
NS_NSM;1938_06;22;mm
NS_NSM;1938_07;72;mm
NS_NSM;1938_08;128;mm
NS_NSM;1938_09;28;mm
NS_NSM;1938_10;44;mm
NS_NSM;1938_11;45;mm
NS_NSM;1938_12;51;mm
NS_NSM;1939_01;63;mm
NS_NSM;1939_02;13;mm
NS_NSM;1939_03;66;mm
NS_NSM;1939_04;55;mm
NS_NSM;1939_05;17;mm
NS_NSM;1939_06;40;mm
NS_NSM;1939_07;76;mm
NS_NSM;1939_08;50;mm
NS_NSM;1939_09;44;mm
NS_NSM;1939_10;107;mm
NS_NSM;1939_11;106;mm
NS_NSM;1939_12;39;mm
NS_NSM;1940_01;20;mm
NS_NSM;1940_02;34;mm
NS_NSM;1940_03;71;mm
NS_NSM;1940_04;65;mm
NS_NSM;1940_05;58;mm
NS_NSM;1940_06;63;mm
