month_day,reference_period,tasmin,tas,tasmax
10-28,1971-2000,3.905255,7.194422,11.094802
10-29,1971-2000,3.7069373,6.465112,10.169302
10-30,1971-2000,3.074167,6.1002564,9.5627575
10-31,1971-2000,2.9829977,6.146223,9.691103
11-01,1971-2000,3.1231284,6.3492923,9.88013
11-02,1971-2000,3.2711258,6.3258667,9.794284
11-03,1971-2000,2.956935,5.81584,9.309508
11-04,1971-2000,2.4831471,5.339739,8.765783
11-05,1971-2000,2.4130716,5.552448,8.8621435
11-06,1971-2000,2.6020517,5.4567175,8.625171
11-07,1971-2000,2.7469416,5.4153113,8.485623
11-08,1971-2000,2.4927523,5.4573083,8.582965
11-09,1971-2000,2.887222,5.578874,8.61712
11-10,1971-2000,2.7097392,5.443841,8.453911
11-11,1971-2000,2.4716585,5.1079926,8.287241
11-12,1971-2000,1.6797755,4.367957,7.570332
11-13,1971-2000,1.622945,4.215508,7.1368585
11-14,1971-2000,1.4837929,4.1466384,6.923427
11-15,1971-2000,1.4578301,4.060663,6.7132406
11-16,1971-2000,1.8630475,4.2133718,6.6586924
11-17,1971-2000,1.3182551,3.4865644,6.1960497
11-18,1971-2000,0.709738,3.1950653,5.7981257
11-19,1971-2000,0.45298976,2.8926322,5.5299025
11-20,1971-2000,0.2306797,2.8109813,5.6112156
11-21,1971-2000,-0.40706912,2.0983584,4.908773
11-22,1971-2000,-0.3234449,2.485502,4.98076
11-23,1971-2000,0.331504,2.9237113,5.2317476
11-24,1971-2000,0.43826306,2.823939,5.42326
11-25,1971-2000,0.028711753,2.5535455,5.151687
11-26,1971-2000,0.4049727,2.8096669,5.196846
11-27,1971-2000,0.32126194,2.4078777,4.6754766
11-28,1971-2000,-0.05067145,2.316094,4.671049
11-29,1971-2000,-0.13668893,2.025752,4.5775294
11-30,1971-2000,-0.814432,1.460699,3.917069
12-01,1971-2000,-1.6032373,0.7835691,3.406013
12-02,1971-2000,-1.2623788,1.4236864,3.5679667
12-03,1971-2000,-0.5316564,1.9907237,4.3294873
12-04,1971-2000,-0.39246967,2.3573694,4.8486996
12-05,1971-2000,-0.51313883,1.8713635,4.594655
12-06,1971-2000,-0.6949295,1.7849433,4.1042852
12-07,1971-2000,-0.6760682,1.7429427,4.1210876
12-08,1971-2000,-0.73537797,1.981686,4.407206
12-09,1971-2000,-0.60244787,1.9763469,4.3961377
12-10,1971-2000,-0.48399106,2.162668,4.410447
12-11,1971-2000,-0.048911605,2.3410223,4.536133
12-12,1971-2000,-0.09350792,1.9694685,4.2373066
12-13,1971-2000,-0.52335477,1.8523389,4.002262
12-14,1971-2000,-0.6629368,1.6760825,4.114296
12-15,1971-2000,-1.1801322,1.1932108,3.8391669
12-16,1971-2000,-1.5698673,0.8193997,3.231786
12-17,1971-2000,-1.5328451,1.0596105,3.3545046
12-18,1971-2000,-0.9542118,1.4962984,3.703113
12-19,1971-2000,-0.8937984,1.5205609,3.992244
12-20,1971-2000,-1.1415166,1.2525543,3.6978188
12-21,1971-2000,-1.1130707,1.1334913,3.3283417
12-22,1971-2000,-1.161214,1.3704164,3.6042228
12-23,1971-2000,-0.6774066,1.6735966,3.8249207
12-24,1971-2000,-0.94087636,1.4461732,3.8603873
12-25,1971-2000,-0.82449985,1.529375,3.5947614
12-26,1971-2000,-0.82260287,1.4707042,3.7841976
12-27,1971-2000,-0.8520681,1.5063751,3.691148
12-28,1971-2000,-0.9807173,1.2751312,3.637778
12-29,1971-2000,-1.5581987,0.97771245,3.4584365
12-30,1971-2000,-1.9808352,0.2984514,2.903217
12-31,1971-2000,-2.4233184,-0.015915735,2.3859284
