Date,Mean,Month
1991-07-01,55.33628319,7
1991-08-01,47.33628319,8
1991-09-01,38.78761062,9
1991-10-01,35.54867257,10
1991-11-01,76.03539823,11
1991-12-01,74.63716814,12
1992-01-01,27.68141593,1
1992-02-01,28.84955752,2
1992-03-01,73.45132743,3
1992-04-01,41.39823009,4
1992-05-01,30.16814159,5
1992-06-01,128.4690265,6
1992-07-01,70.77876106,7
1992-08-01,89.31858407,8
1992-09-01,37.92035398,9
1992-10-01,72.81415929,10
1992-11-01,63.27433628,11
1992-12-01,56.9380531,12
1993-01-01,73.26548673,1
1993-02-01,30.12389381,2
1993-03-01,5.371681416,3
1993-04-01,39.30088496,4
1993-05-01,59.01769912,5
1993-06-01,33.21238938,6
1993-07-01,98.87610619,7
1993-08-01,36.28318584,8
1993-09-01,132.9911504,9
1993-10-01,87.51327434,10
1993-11-01,38.84070796,11
1993-12-01,136.300885,12
1994-01-01,75.05309735,1
1994-02-01,27.55752212,2
1994-03-01,76.98230088,3
1994-04-01,39.26548673,4
1994-05-01,59.09734513,5
1994-06-01,61.57522124,6
1994-07-01,39.10619469,7
1994-08-01,62.15044248,8
1994-09-01,73.84955752,9
1994-10-01,40.52212389,10
1994-11-01,50.61946903,11
1994-12-01,56.92035398,12
1995-01-01,111.5486726,1
1995-02-01,68.08849558,2
1995-03-01,69.36283186,3
1995-04-01,41.75221239,4
1995-05-01,39.61061947,5
1995-06-01,61.65486726,6
1995-07-01,83.9380531,7
1995-08-01,25.34513274,8
1995-09-01,56.18584071,9
1995-10-01,27.56637168,10
1995-11-01,48.08849558,11
1995-12-01,41.6460177,12
1996-01-01,8.769911504,1
1996-02-01,42.65486726,2
1996-03-01,22.79646018,3
1996-04-01,7.353982301,4
1996-05-01,67.20353982,5
1996-06-01,31.56637168,6
1996-07-01,51.78761062,7
1996-08-01,112.1769912,8
1996-09-01,37.69911504,9
1996-10-01,64.42477876,10
1996-11-01,60.62831858,11
1996-12-01,40.26548673,12
1997-01-01,5.318584071,1
1997-02-01,67.11504425,2
1997-03-01,35.38053097,3
1997-04-01,54.68141593,4
1997-05-01,80.67256637,5
1997-06-01,127.2212389,6
1997-07-01,66.18584071,7
1997-08-01,43.18584071,8
1997-09-01,29.02654867,9
1997-10-01,48.50442478,10
1997-11-01,36.09734513,11
1997-12-01,64.59292035,12
1998-01-01,31.53097345,1
1998-02-01,8.053097345,2
1998-03-01,58.75221239,3
1998-04-01,75.24778761,4
1998-05-01,69.27433628,5
1998-06-01,116.6725664,6
1998-07-01,40.32743363,7
1998-08-01,44.10619469,8
1998-09-01,112.1946903,9
1998-10-01,133.0530973,10
1998-11-01,71.94690265,11
1998-12-01,35.91150442,12
1999-01-01,70.50442478,1
1999-02-01,66.0619469,2
1999-03-01,44.72566372,3
1999-04-01,69.09734513,4
1999-05-01,47.7079646,5
1999-06-01,60.05309735,6
1999-07-01,57.39823009,7
1999-08-01,61.30973451,8
1999-09-01,65.26548673,9
1999-10-01,34.69026549,10
1999-11-01,34.0619469,11
1999-12-01,80.30973451,12
2000-01-01,33.46902655,1
2000-02-01,89.31858407,2
2000-03-01,52.92920354,3
2000-04-01,39.91150442,4
2000-05-01,53.09734513,5
2000-06-01,57.63716814,6
2000-07-01,194.7168142,7
2000-08-01,73.42477876,8
2000-09-01,84.81415929,9
2000-10-01,62.52212389,10
2000-11-01,36.88495575,11
2000-12-01,39.79646018,12
2001-01-01,63.17699115,1
2001-02-01,64.94690265,2
2001-03-01,78.69911504,3
2001-04-01,77.71681416,4
2001-05-01,26.62831858,5
2001-06-01,81.83185841,6
2001-07-01,49.44247788,7
2001-08-01,41.92920354,8
2001-09-01,121.8230088,9
2001-10-01,45.72566372,10
2001-11-01,92.87610619,11
2002-01-01,46.33628319,1
2002-02-01,112.2477876,2
2002-03-01,48.86725664,3
2002-04-01,53.81415929,4
2002-05-01,57.13274336,5
2002-06-01,54.69911504,6
2002-07-01,88.99115044,7
2002-08-01,87.34513274,8
2002-09-01,23.50442478,9
2002-10-01,76.68141593,10
2002-11-01,90.10619469,11
2002-12-01,74.56637168,12
2003-01-01,61.92920354,1
2003-02-01,19.23893805,2
2003-03-01,40.63716814,3
2003-04-01,41.2300885,4
2003-05-01,58.30973451,5
2003-06-01,52.65486726,6
2003-07-01,52.84955752,7
2003-08-01,44.38938053,8
2003-09-01,42.33628319,9
2003-10-01,80.0,10
2003-11-01,32.2300885,11
2003-12-01,47.16814159,12
