time,p,Einheit,PET,KWB
2014-09-01,36.0,mm,48.20189873417722,-12.20189873417722
2014-10-01,49.0,mm,28.576582278481016,20.423417721518984
2014-11-01,34.0,mm,12.8626582278481,21.1373417721519
2014-12-01,55.0,mm,10.49367088607595,44.50632911392405
2015-01-01,63.0,mm,15.52974683544304,47.47025316455696
2015-02-01,32.0,mm,16.92025316455696,15.07974683544304
2015-03-01,42.0,mm,44.3,-2.299999999999997
2015-04-01,31.0,mm,80.28987341772151,-49.28987341772151
2015-05-01,27.0,mm,97.60316455696204,-70.60316455696204
2015-06-01,41.0,mm,120.2120253164557,-79.2120253164557
2015-07-01,53.0,mm,134.51455696202532,-81.51455696202532
2015-08-01,99.0,mm,105.10886075949368,-6.10886075949368
2015-09-01,71.0,mm,47.34430379746836,23.655696202531637
2015-10-01,31.0,mm,21.20506329113924,9.79493670886076
2015-11-01,69.0,mm,21.10759493670886,47.892405063291136
2015-12-01,38.0,mm,16.17025316455696,21.82974683544304
2016-01-01,60.0,mm,15.733544303797467,44.266455696202534
2016-02-01,68.0,mm,25.72151898734177,42.27848101265823
2016-03-01,46.0,mm,38.096835443037975,7.903164556962025
2016-04-01,44.0,mm,65.69367088607595,-21.69367088607595
2016-05-01,54.0,mm,105.33417721518988,-51.33417721518988
2016-06-01,132.0,mm,92.51708860759494,39.48291139240506
2016-07-01,34.0,mm,112.4626582278481,-78.4626582278481
2016-08-01,36.0,mm,94.89493670886075,-58.894936708860754
2016-09-01,16.0,mm,69.62341772151899,-53.62341772151899
2016-10-01,47.0,mm,21.25,25.75
2016-11-01,53.0,mm,14.813924050632911,38.18607594936709
2016-12-01,16.0,mm,7.882911392405063,8.117088607594937
2017-01-01,31.0,mm,9.468354430379746,21.531645569620252
2017-02-01,41.0,mm,22.51518987341772,18.48481012658228
2017-03-01,50.0,mm,57.53924050632911,-7.539240506329108
2017-04-01,16.0,mm,67.87531645569621,-51.87531645569621
2017-05-01,46.0,mm,112.56518987341772,-66.56518987341772
2017-06-01,35.0,mm,134.98101265822783,-99.98101265822783
2017-07-01,97.0,mm,120.55316455696202,-23.553164556962017
2017-08-01,70.0,mm,83.95379746835444,-13.953797468354438
2017-09-01,67.0,mm,48.62721518987342,18.372784810126582
2017-10-01,37.0,mm,31.0246835443038,5.975316455696198
2017-11-01,53.0,mm,13.86012658227848,39.13987341772152
2017-12-01,71.0,mm,12.648101265822785,58.35189873417721
2018-01-01,65.0,mm,21.05506329113924,43.94493670886076
2018-02-01,13.0,mm,16.46012658227848,-3.4601265822784804
2018-03-01,48.0,mm,35.32974683544304,12.67025316455696
2018-04-01,41.0,mm,87.03481012658229,-46.034810126582286
2018-05-01,53.0,mm,127.10569620253165,-74.10569620253165
2018-06-01,42.0,mm,114.92025316455695,-72.92025316455695
2018-07-01,14.0,mm,163.9626582278481,-149.9626582278481
2018-08-01,36.0,mm,118.74683544303798,-82.74683544303798
2018-09-01,43.0,mm,67.34493670886076,-24.344936708860757
2018-10-01,23.0,mm,37.47974683544304,-14.479746835443038
2018-11-01,19.0,mm,15.771518987341771,3.2284810126582286
2018-12-01,85.0,mm,14.79493670886076,70.20506329113924
2019-01-01,67.0,mm,13.494303797468351,53.50569620253165
2019-02-01,29.0,mm,32.75949367088607,-3.759493670886073
2019-03-01,76.0,mm,52.64240506329114,23.357594936708857
2019-04-01,23.0,mm,85.35822784810127,-62.358227848101265
2019-05-01,60.0,mm,89.2759493670886,-29.2759493670886
2019-06-01,44.0,mm,150.17025316455698,-106.17025316455698
2019-07-01,37.0,mm,139.89746835443037,-102.89746835443037
2019-08-01,52.0,mm,107.68291139240507,-55.682911392405074
2019-09-01,36.0,mm,60.34683544303797,-24.346835443037968
2019-10-01,77.0,mm,29.88164556962025,47.11835443037975
2019-11-01,68.0,mm,13.751898734177214,54.24810126582278
2019-12-01,59.0,mm,15.834810126582278,43.165189873417724
2020-01-01,27.0,mm,16.650632911392403,10.349367088607597
2020-02-01,108.0,mm,36.11518987341772,71.88481012658228
2020-03-01,59.0,mm,56.54240506329114,2.4575949367088583
2020-04-01,11.0,mm,104.0772151898734,-93.0772151898734
2020-05-01,15.0,mm,119.0386075949367,-104.0386075949367
2020-06-01,60.0,mm,122.28417721518989,-62.284177215189885
2020-07-01,32.0,mm,121.72721518987342,-89.72721518987342
2020-08-01,54.0,mm,119.96708860759492,-65.96708860759492
2020-09-01,44.0,mm,66.01962025316456,-22.01962025316456
2020-10-01,62.0,mm,28.96708860759493,33.03291139240507
2020-11-01,19.0,mm,15.998734177215187,3.001265822784813
2020-12-01,54.0,mm,11.310759493670886,42.689240506329114
2021-01-01,82.0,mm,14.203164556962026,67.79683544303798
2021-02-01,43.0,mm,23.99367088607595,19.00632911392405
2021-03-01,40.0,mm,52.15189873417721,-12.151898734177209
2021-04-01,30.0,mm,68.7873417721519,-38.787341772151905
2021-05-01,54.0,mm,90.38227848101266,-36.38227848101266
2021-06-01,83.0,mm,123.91582278481012,-40.91582278481012
2021-07-01,161.0,mm,100.3006329113924,60.6993670886076
2021-08-01,70.0,mm,77.93101265822784,-7.931012658227843
2021-09-01,22.0,mm,57.3873417721519,-35.3873417721519
2021-10-01,41.0,mm,30.39746835443038,10.60253164556962
2021-11-01,30.0,mm,10.89746835443038,19.10253164556962
2021-12-01,53.0,mm,10.864556962025317,42.13544303797468
2022-01-01,52.0,mm,14.690506329113925,37.30949367088608
2022-02-01,51.0,mm,34.1120253164557,16.8879746835443
2022-03-01,20.0,mm,62.23670886075949,-42.23670886075949
2022-04-01,32.0,mm,80.88924050632912,-48.889240506329116
2022-05-01,39.0,mm,122.74620253164558,-83.74620253164558
2022-06-01,73.0,mm,132.22974683544302,-59.229746835443024
2022-07-01,17.0,mm,148.0164556962025,-131.0164556962025
2022-08-01,15.0,mm,134.5759493670886,-119.57594936708861
2022-09-01,99.0,mm,61.215189873417714,37.784810126582286
2022-10-01,25.0,mm,34.425316455696205,-9.425316455696205
2022-11-01,52.0,mm,19.582278481012654,32.41772151898735
2022-12-01,57.0,mm,11.63987341772152,45.36012658227848
2023-01-01,43.0,mm,20.35379746835443,22.64620253164557
2023-02-01,18.0,mm,23.856962025316456,-5.856962025316456
2023-03-01,89.0,mm,47.77088607594937,41.22911392405063
2023-04-01,43.0,mm,68.00379746835443,-25.003797468354435
2023-05-01,57.0,mm,108.98860759493672,-51.988607594936724
2023-06-01,36.0,mm,160.52848101265823,-124.52848101265823
2023-07-01,77.0,mm,130.61202531645569,-53.612025316455686
2023-08-01,98.0,mm,87.6632911392405,10.3367088607595
2023-09-01,47.0,mm,71.8253164556962,-24.825316455696196
2023-10-01,88.0,mm,37.4632911392405,50.5367088607595
2023-11-01,99.0,mm,21.132911392405063,77.86708860759494
2023-12-01,82.0,mm,17.340506329113925,64.65949367088608
