Zeit,Wert,Einheit,SPI_1,SPI_3,SPI_6,SPI_12,SPI_24
1929-06-01,28,mm,-1.6914366561759089,-1.4032897087537033,-3.025353575334241,-1.4530851502769448,-0.7998221388588769
1929-07-01,77,mm,0.57719988124094,-1.6142060404676992,-2.246641456392078,-1.2258002791923306,-0.9155785323454139
1929-08-01,29,mm,-1.2264003177138072,-1.4189834920519993,-2.3720777254902528,-1.9069778700438624,-1.7227000923378033
1929-09-01,17,mm,-1.7700829550874064,-1.4563722844546578,-2.2346001601501766,-1.9506942065167774,-1.9788336192690736
1929-10-01,99,mm,1.3959842869015278,-0.30760228277700546,-1.1887575898261025,-1.6511859666624582,-1.2601011986983273
1929-11-01,44,mm,-0.44787439536919743,0.0220986406752825,-0.8853851215504636,-2.089775710321152,-1.4898239105227138
1929-12-01,74,mm,0.6290494695728551,1.0513005552484735,-0.020722809361197272,-1.8822585945807029,-1.1813569790402172
1930-01-01,19,mm,-1.3196049956277593,-0.6147250058893027,-0.5983533858858067,-1.8133764985805225,-1.2483410532438577
1930-02-01,8,mm,-1.9251197525055326,-1.0796370729787006,-0.6527117376339414,-2.039431364844125,-1.5861568239459163
1930-03-01,29,mm,-0.8815138521251898,-2.5418284123680914,-0.4967281120278047,-1.6594344189815982,-1.4340392391016021
1930-04-01,62,mm,0.8439244191937146,-1.0030269202066586,-1.1690457704155106,-1.5776524970235979,-1.630153870388198
1930-05-01,63,mm,0.2041893522920037,-0.11187195801054567,-0.8700394410994949,-1.3113054074568127,-1.4724309139450358
1930-06-01,34,mm,-1.358429946497672,-0.3852765646106899,-1.83479424591996,-1.1951907094239893,-1.9358996729399875
1930-07-01,114,mm,1.852946491458873,0.3203784751535224,-0.4732514778258472,-0.7641297049270499,-1.5206544082421094
1930-08-01,71,mm,0.6265324404558184,0.5451740532374153,0.28950402247840046,-0.3500756042538883,-1.6961026128801029
1930-09-01,71,mm,0.6385273344219686,1.684011059080677,0.9435447508804018,0.20451841912924354,-1.18173580196442
1930-10-01,51,mm,0.13802118382241954,0.5648939845316684,0.5493878227474294,-0.31151604318338477,-1.3822641581770965
1930-11-01,100,mm,1.8603304428290612,1.1100167216665064,1.0763003078825049,0.27911957713760316,-1.2448968154331124
1930-12-01,30,mm,-0.9863698115893321,0.38354724520311906,1.200438353442026,-0.18103936225894224,-1.478844942913092
1931-01-01,86,mm,1.2141154761868038,1.2410363737599566,0.9839466595771164,0.4652346043781737,-0.8513741764016342
1931-02-01,44,mm,0.2739373637232678,0.31881865823315664,0.932216705778991,0.8310958161677189,-0.660691651909386
1931-03-01,33,mm,-0.6820130039376708,0.4234181588376118,0.49820540018311804,0.8350371460456306,-0.43414968348422533
1931-04-01,61,mm,0.8050245041636791,-0.007556261962871118,0.7873815588061289,0.791067122489603,-0.44110902304507943
1931-05-01,37,mm,-0.8708266886740312,-0.7039746123971392,-0.2625399457656318,0.6012657815480156,-0.41298952236742037
1931-06-01,56,mm,-0.40960512985720676,-0.5022121485728821,-0.09412608322501954,0.7823943769222977,-0.24402931677122272
1931-07-01,66,mm,0.12158456338629105,-0.9571702212930817,-0.6944035701826237,0.333358853547834,-0.3214779007259869
1931-08-01,125,mm,2.122670677823351,1.0771942506366443,0.36892200533808484,0.923151180759492,0.4491904281435747
1931-09-01,34,mm,-0.7325962312221477,1.0732566911489925,0.36854201140568443,0.5583000665876174,0.5412277409399086
1931-10-01,40,mm,-0.25641292930995485,0.6633782225092927,-0.052583623340234864,0.43949234497403855,0.07881901329006342
1931-11-01,17,mm,-2.465587053626334,-1.5992836342889905,-0.24021457597012005,-0.3913853969949714,-0.11745356942248698
1931-12-01,39,mm,-0.5635298947240225,-1.6606906966383468,-0.28630914153575865,-0.325752423833956,-0.39978532187696497
1932-01-01,35,mm,-0.43786589668411524,-2.063950811152332,-0.48597180771672044,-0.8269063470912343,-0.2221755299631109
1932-02-01,14,mm,-1.3156670154743444,-1.4602816947280925,-2.040992725119562,-1.239312649012453,-0.18523597607034534
1932-03-01,26,mm,-1.0442603250056923,-1.82428604058854,-2.297506667254966,-1.258467547809741,-0.1958197786738144
1932-04-01,61,mm,0.8050245041636791,-0.9460198459416123,-2.070672473610192,-1.2143949375629812,-0.2187302074425239
1932-05-01,51,mm,-0.2446761433224596,-0.5168112783901707,-1.4032455504006138,-1.1396529879979294,-0.3088279826146602
1932-06-01,26,mm,-1.8138352479112079,-0.8946263432749519,-1.87411227402807,-1.4303623346712702,-0.3953942837026344
1932-07-01,64,mm,0.033422454165015145,-1.4652442346103798,-1.7104361690796592,-1.3999024079414146,-0.7646556110418535
1932-08-01,37,mm,-0.7729129626683094,-1.6153944096636275,-1.63451217694903,-2.6426899814204856,-1.0885385110496166
1932-09-01,97,mm,1.3308351188511551,0.49465946789603144,-0.36800673449523924,-1.8491466937224126,-0.8350624369774143
1932-10-01,86,mm,1.1038283463647836,0.9934788428258211,-0.011804262954584697,-1.2988261743643448,-0.5791607562998532
1932-11-01,25,mm,-1.7140794817376253,0.8837973750704201,-0.2823429199407487,-1.1228495173829756,-1.1279466067484631
1932-12-01,13,mm,-2.142294790391506,-0.885057845738177,-0.2720721592452849,-1.4623672285673068,-1.3092228853435972
1933-01-01,16,mm,-1.5412580385878054,-3.09,-0.7129113898631638,-1.6047254058428924,-1.7042874507483932
1933-02-01,24,mm,-0.6354054894963639,-2.734592358116772,-0.6527117376339414,-1.6065916756406433,-1.9123662036585238
1933-03-01,14,mm,-1.8783979660892938,-2.627073097610332,-2.1530644327499524,-1.6711595280905065,-1.9655163326443572
1933-04-01,12,mm,-1.9446392339697383,-2.7582038482756044,-3.09,-2.183644659097108,-2.3457466187916713
1933-05-01,76,mm,0.6301116731395298,-1.5616992396993745,-2.9457380382307154,-2.019216611383353,-2.100433243607795
1933-06-01,83,mm,0.4516974991810308,-0.11439146877708971,-1.6419000432315418,-1.2840558454316366,-1.98474118824265
1933-07-01,33,mm,-1.668388260475799,-0.11896612554925139,-1.7104361690796592,-1.5776031185025432,-2.2714778297297933
1933-08-01,44,mm,-0.42916269688344344,-0.745743295950676,-1.6950125658951445,-1.6211535977328357,-3.09
1933-09-01,30,mm,-0.9355836624457424,-1.9737266640373412,-1.4696197876981787,-2.516524341416461,-3.09
1933-10-01,34,mm,-0.5037538536882833,-1.1255241442288577,-0.8905424158403241,-3.09,-3.09
1933-11-01,54,mm,0.06910858290508098,-0.8884963283870054,-1.1361798434622392,-2.6828130035381563,-2.743203830338338
1933-12-01,11,mm,-2.344641765588048,-1.5706286168603278,-2.1778177230107305,-2.773072291198181,-3.0816505812448916
1934-01-01,38,mm,-0.3062993997914631,-1.6444085003658286,-1.7063315012986746,-2.358632096654046,-2.7871020437090186
1934-02-01,13,mm,-1.4014928432273646,-2.3600236088052555,-2.0216398213644453,-2.6824786360384434,-2.8746334602564523
1934-03-01,19,mm,-1.4844425899711884,-1.9992282589847916,-2.3395348424969655,-2.4951560030602176,-2.79265906892458
1934-04-01,50,mm,0.3473427535602388,-1.5230648807776124,-2.226923633978429,-1.9453297199066935,-2.8729019498376305
